county,date,fire_event_count_radius,smoke_present,min_fire_distance_km,fire_radius_km
Fresno,2024-01-01,0,0,,150.0
Fresno,2024-01-02,0,0,,150.0
Fresno,2024-01-03,0,0,,150.0
Fresno,2024-01-04,0,0,,150.0
Fresno,2024-01-05,0,0,,150.0
Fresno,2024-01-06,0,0,,150.0
Fresno,2024-01-07,0,0,,150.0
Fresno,2024-01-08,0,0,,150.0
Fresno,2024-01-09,0,0,,150.0
Fresno,2024-01-10,0,0,,150.0
Fresno,2024-01-11,0,0,,150.0
Fresno,2024-01-12,0,0,,150.0
Fresno,2024-01-13,0,0,,150.0
Fresno,2024-01-14,0,0,,150.0
Kern,2024-01-01,0,0,,150.0
Kern,2024-01-02,0,0,,150.0
Kern,2024-01-03,0,0,,150.0
Kern,2024-01-04,0,0,,150.0
Kern,2024-01-05,0,0,,150.0
Kern,2024-01-06,0,0,,150.0
Kern,2024-01-07,0,0,,150.0
Kern,2024-01-08,0,0,,150.0
Kern,2024-01-09,0,0,,150.0
Kern,2024-01-10,0,0,,150.0
Kern,2024-01-11,0,0,,150.0
Kern,2024-01-12,0,0,,150.0
Kern,2024-01-13,0,0,,150.0
Kern,2024-01-14,0,0,,150.0
Kings,2024-01-01,0,0,,150.0
Kings,2024-01-02,0,0,,150.0
Kings,2024-01-03,0,0,,150.0
Kings,2024-01-04,0,0,,150.0
Kings,2024-01-05,0,0,,150.0
Kings,2024-01-06,0,0,,150.0
Kings,2024-01-07,0,0,,150.0
Kings,2024-01-08,0,0,,150.0
Kings,2024-01-09,0,0,,150.0
Kings,2024-01-10,0,0,,150.0
Kings,2024-01-11,0,0,,150.0
Kings,2024-01-12,0,0,,150.0
Kings,2024-01-13,0,0,,150.0
Kings,2024-01-14,0,0,,150.0
Madera,2024-01-01,0,0,,150.0
Madera,2024-01-02,0,0,,150.0
Madera,2024-01-03,0,0,,150.0
Madera,2024-01-04,0,0,,150.0
Madera,2024-01-05,0,0,,150.0
Madera,2024-01-06,0,0,,150.0
Madera,2024-01-07,0,0,,150.0
Madera,2024-01-08,0,0,,150.0
Madera,2024-01-09,0,0,,150.0
Madera,2024-01-10,0,0,,150.0
Madera,2024-01-11,0,0,,150.0
Madera,2024-01-12,0,0,,150.0
Madera,2024-01-13,0,0,,150.0
Madera,2024-01-14,0,0,,150.0
Merced,2024-01-01,0,0,,150.0
Merced,2024-01-02,0,0,,150.0
Merced,2024-01-03,0,0,,150.0
Merced,2024-01-04,0,0,,150.0
Merced,2024-01-05,0,0,,150.0
Merced,2024-01-06,0,0,,150.0
Merced,2024-01-07,0,0,,150.0
Merced,2024-01-08,0,0,,150.0
Merced,2024-01-09,0,0,,150.0
Merced,2024-01-10,0,0,,150.0
Merced,2024-01-11,0,0,,150.0
Merced,2024-01-12,0,0,,150.0
Merced,2024-01-13,0,0,,150.0
Merced,2024-01-14,0,0,,150.0
San Joaquin,2024-01-01,0,0,,150.0
San Joaquin,2024-01-02,0,0,,150.0
San Joaquin,2024-01-03,0,0,,150.0
San Joaquin,2024-01-04,0,0,,150.0
San Joaquin,2024-01-05,0,0,,150.0
San Joaquin,2024-01-06,0,0,,150.0
San Joaquin,2024-01-07,0,0,,150.0
San Joaquin,2024-01-08,0,0,,150.0
San Joaquin,2024-01-09,0,0,,150.0
San Joaquin,2024-01-10,0,0,,150.0
San Joaquin,2024-01-11,0,0,,150.0
San Joaquin,2024-01-12,0,0,,150.0
San Joaquin,2024-01-13,0,0,,150.0
San Joaquin,2024-01-14,0,0,,150.0
Stanislaus,2024-01-01,0,0,,150.0
Stanislaus,2024-01-02,0,0,,150.0
Stanislaus,2024-01-03,0,0,,150.0
Stanislaus,2024-01-04,0,0,,150.0
Stanislaus,2024-01-05,0,0,,150.0
Stanislaus,2024-01-06,0,0,,150.0
Stanislaus,2024-01-07,0,0,,150.0
Stanislaus,2024-01-08,0,0,,150.0
Stanislaus,2024-01-09,0,0,,150.0
Stanislaus,2024-01-10,0,0,,150.0
Stanislaus,2024-01-11,0,0,,150.0
Stanislaus,2024-01-12,0,0,,150.0
Stanislaus,2024-01-13,0,0,,150.0
Stanislaus,2024-01-14,0,0,,150.0
Tulare,2024-01-01,0,0,,150.0
Tulare,2024-01-02,0,0,,150.0
Tulare,2024-01-03,0,0,,150.0
Tulare,2024-01-04,0,0,,150.0
Tulare,2024-01-05,0,0,,150.0
Tulare,2024-01-06,0,0,,150.0
Tulare,2024-01-07,0,0,,150.0
Tulare,2024-01-08,0,0,,150.0
Tulare,2024-01-09,0,0,,150.0
Tulare,2024-01-10,0,0,,150.0
Tulare,2024-01-11,0,0,,150.0
Tulare,2024-01-12,0,0,,150.0
Tulare,2024-01-13,0,0,,150.0
Tulare,2024-01-14,0,0,,150.0
